NOME,ANO,FASE,IAA,IAN,IDA,IDADE,IEG,INDE,INGRESSANTE,IPP,IPS,IPV
ALUNO-1022,2020,0.0,10.000020000000001,10.0,9.0,8.0,9.9,8.780002,0.0,7.5,7.5,7.5
ALUNO-1022,2021,1.0,9.0,10.0,1.9,9.0,9.2,7.219,0.0,7.7,7.5,7.9
ALUNO-1022,2022,1.0,8.000020000000001,5.0,7.583333333333334,10.0,9.605072463768115,7.52518315942029,0.0,6.041666666666667,7.5,7.166666666666666
ALUNO-1023,2020,,,,,,,,1.0,,,
ALUNO-1023,2021,0.0,9.0,5.0,5.8,13.0,10.0,7.896,1.0,7.5,7.5,9.2
ALUNO-1023,2022,0.0,9.000020000000001,5.0,5.416666666666666,13.0,7.26602564102564,6.832373461538461,0.0,5.625,7.5,7.916665
ALUNO-1024,2020,5.0,7.5,5.0,0.0,17.0,2.2,3.7622213333333336,0.0,7.708333333333334,3.125,4.94444
ALUNO-1024,2021,,,,,18.0,,,0.0,,,
ALUNO-1024,2022,,,,,19.0,,,0.0,,,
ALUNO-1025,2020,,,,,,,,1.0,,,
ALUNO-1025,2021,,,,,13.0,,,0.0,,,
ALUNO-1025,2022,0.0,8.000020000000001,10.0,9.183333333333334,13.0,8.925925925925926,8.09268585185185,1.0,5.625,6.25,7.41666
ALUNO-1026,2020,,,,,,,,1.0,,,
ALUNO-1026,2021,3.0,9.6,10.0,5.6,13.0,6.1,7.008,1.0,7.1,7.5,6.2
ALUNO-1026,2022,3.0,8.75001,5.0,2.777777777777778,13.0,4.317217234837372,5.66899900252303,0.0,7.5,7.5,6.874995
ALUNO-1027,2020,5.0,8.75001,10.0,6.333333333333333,15.0,9.0,8.069793166666667,1.0,8.90625,4.375,9.0000025
ALUNO-1027,2021,6.0,7.5,10.0,6.8,16.0,3.9,5.672,0.0,7.1,0.0,5.4
ALUNO-1027,2022,,,,,17.0,,,0.0,,,
ALUNO-1028,2020,2.0,9.500020000000001,5.0,7.5,12.0,9.1,7.73389,1.0,7.916666666666668,7.5,7.111106666666665
ALUNO-1028,2021,2.0,8.4,5.0,7.1,13.0,5.4,6.917,0.0,7.5,7.5,7.8
ALUNO-1028,2022,3.0,7.91667,10.0,7.444444444444444,14.0,6.666666666666668,6.943054722222223,0.0,7.5,4.375,5.7083275
ALUNO-1029,2020,1.0,9.500020000000001,5.0,9.0,10.0,8.7,8.352502999999999,1.0,8.125,7.5,9.000005
ALUNO-1029,2021,2.0,9.0,10.0,8.4,11.0,7.9,8.782,0.0,9.2,7.5,9.7
ALUNO-1029,2022,3.0,8.75001,10.0,5.777777777777778,12.0,8.915214902057008,7.928183035966957,0.0,7.8125,7.5,7.9166675
ALUNO-103,2020,0.0,9.000020000000001,10.0,8.5,8.0,10.0,8.597919000000001,0.0,7.8125,7.5,7.333335
ALUNO-103,2021,1.0,9.5,10.0,6.2,9.0,8.8,8.076,0.0,7.9,6.3,8.6
ALUNO-103,2022,1.0,9.50002,5.0,6.0,10.0,8.903448275862068,7.105690655172413,0.0,5.625,5.625,7.749995
ALUNO-1030,2020,,,,,,,,1.0,,,
ALUNO-1030,2021,,,,,13.0,,,0.0,,,
ALUNO-1030,2022,2.0,8.500020000000001,5.0,5.75,13.0,8.282828282828284,6.874622323232323,1.0,6.458333333333334,7.5,6.611106666666666
ALUNO-1031,2020,0.0,9.000020000000001,10.0,10.0,8.0,10.0,9.166669,0.0,7.5,7.5,8.833335
ALUNO-1031,2021,1.0,9.5,10.0,8.1,9.0,10.0,8.863,0.0,7.5,7.5,9.0
ALUNO-1031,2022,1.0,8.500020000000001,5.0,8.833333333333332,10.0,10.0,7.950002,0.0,5.833333333333334,7.5,7.5
ALUNO-1032,2020,,,,,,,,1.0,,,
ALUNO-1032,2021,1.0,10.0,5.0,5.1,13.0,8.3,7.451,1.0,8.5,7.5,8.3
ALUNO-1032,2022,,,,,13.0,,,0.0,,,
ALUNO-1033,2020,,,,,,,,1.0,,,
ALUNO-1033,2021,,,,,13.0,,,0.0,,,
ALUNO-1033,2022,0.0,9.50002,10.0,9.1,13.0,7.328282828282827,8.243991565656566,1.0,5.625,8.125,8.166665
ALUNO-1034,2020,2.0,8.000020000000001,10.0,5.5,11.0,8.5,7.751391333333333,1.0,8.125,7.5,7.944446666666668
ALUNO-1034,2021,2.0,8.0,5.0,5.8,12.0,9.2,7.679,0.0,8.3,7.5,9.0
ALUNO-1034,2022,2.0,9.50002,5.0,6.633333333333333,13.0,9.490392648287385,7.495580529657477,0.0,6.041666666666667,7.5,7.333333333333333
ALUNO-1035,2020,1.0,9.500020000000001,5.0,10.0,10.0,9.4,8.263334666666667,0.0,7.5,7.5,7.166663333333332
ALUNO-1035,2021,1.0,9.5,5.0,6.0,11.0,7.9,7.718,0.0,8.8,6.9,9.6
ALUNO-1035,2022,,,,,12.0,,,0.0,,,
ALUNO-1036,2020,1.0,8.41668,5.0,0.0,12.0,3.3,4.701666666666667,0.0,6.458333333333334,6.875,6.833326666666666
ALUNO-1036,2021,,,,,13.0,,,0.0,,,
ALUNO-1036,2022,,,,,14.0,,,0.0,,,
ALUNO-1037,2020,,,,,,,,1.0,,,
ALUNO-1037,2021,,,,,13.0,,,0.0,,,
ALUNO-1037,2022,3.0,8.33334,10.0,8.0,13.0,8.151515151515152,8.121970030303032,1.0,8.125,6.875,7.791665
ALUNO-1038,2020,,,,,,,,1.0,,,
